rental_id,branch,vehicle_type,rental_start,rental_end,rental_hours,price,feedback_score,maintenance_required
53,Da Nang City,Bike,2025-07-27,2025-07-28 03:00:00,27,351,5,1
54,Hanoi Center,Electric Scooter,2025-06-07,2025-06-09 18:00:00,66,330,2,1
55,HCM District 1,Electric Scooter,2025-06-26,2025-06-27 02:00:00,26,286,4,0
56,Da Nang City,Bike,2025-07-02,2025-07-03 06:00:00,30,150,4,1
57,Hanoi Center,Electric Scooter,2025-07-04,2025-07-05 23:00:00,47,658,1,1
58,Da Nang City,Bike,2025-09-06,2025-09-08 23:00:00,71,1207,3,0
59,HCM District 1,Car,2025-08-10,2025-08-10 01:00:00,1,19,4,1
60,HCM District 1,Electric Scooter,2025-01-19,2025-01-20 08:00:00,32,576,4,0
61,Da Nang City,Bike,2025-05-18,2025-05-20 00:00:00,48,672,4,1
62,Hanoi Center,Car,2025-05-27,2025-05-28 23:00:00,47,376,2,0
63,Hanoi Center,Bike,2025-02-23,2025-02-25 19:00:00,67,1005,2,1
64,HCM District 1,Car,2025-03-03,2025-03-04 12:00:00,36,288,4,1
65,HCM District 1,Electric Scooter,2025-06-21,2025-06-21 05:00:00,5,70,3,0
66,HCM District 1,Car,2025-07-13,2025-07-13 20:00:00,20,160,5,0
67,Hanoi Center,Bike,2025-01-10,2025-01-10 14:00:00,14,224,3,0
68,Hanoi Center,Bike,2025-06-10,2025-06-10 05:00:00,5,90,1,1
69,HCM District 1,Bike,2025-04-11,2025-04-11 06:00:00,6,66,5,1
70,Da Nang City,Electric Scooter,2025-08-05,2025-08-06 17:00:00,41,820,3,0
71,Da Nang City,Car,2025-10-17,2025-10-18 20:00:00,44,836,5,1
72,Hanoi Center,Bike,2025-07-23,2025-07-24 08:00:00,32,288,1,1
73,Da Nang City,Electric Scooter,2025-09-30,2025-10-02 15:00:00,63,504,5,1
74,HCM District 1,Electric Scooter,2025-01-07,2025-01-07 23:00:00,23,322,2,1
75,Da Nang City,Bike,2025-04-19,2025-04-20 00:00:00,24,456,3,1
76,Da Nang City,Bike,2025-09-19,2025-09-21 12:00:00,60,840,1,1
77,Hanoi Center,Car,2025-03-02,2025-03-02 15:00:00,15,120,3,0
78,Hanoi Center,Car,2025-03-08,2025-03-08 23:00:00,23,230,1,0
79,HCM District 1,Electric Scooter,2025-05-23,2025-05-23 07:00:00,7,56,4,1
80,Da Nang City,Car,2025-07-23,2025-07-23 08:00:00,8,152,3,0
81,Hanoi Center,Bike,2025-08-14,2025-08-15 00:00:00,24,240,5,0
82,HCM District 1,Car,2025-07-24,2025-07-26 21:00:00,69,1311,3,0
83,Da Nang City,Bike,2025-09-10,2025-09-11 09:00:00,33,297,3,1
84,Da Nang City,Electric Scooter,2025-09-04,2025-09-04 17:00:00,17,153,5,1
85,Da Nang City,Electric Scooter,2025-03-09,2025-03-10 19:00:00,43,301,1,1
86,HCM District 1,Electric Scooter,2025-10-05,2025-10-07 08:00:00,56,784,1,0
87,Hanoi Center,Electric Scooter,2025-06-30,2025-07-02 18:00:00,66,1254,5,0
88,Hanoi Center,Electric Scooter,2025-03-20,2025-03-20 13:00:00,13,221,5,1
89,Hanoi Center,Electric Scooter,2025-02-13,2025-02-13 08:00:00,8,120,4,1
90,Hanoi Center,Electric Scooter,2025-10-10,2025-10-10 22:00:00,22,132,1,1
91,HCM District 1,Car,2025-04-26,2025-04-27 04:00:00,28,168,1,0
92,Da Nang City,Car,2025-01-25,2025-01-25 17:00:00,17,204,2,0
93,Hanoi Center,Car,2025-03-22,2025-03-23 21:00:00,45,270,1,0
94,Da Nang City,Car,2025-07-13,2025-07-16 00:00:00,72,1440,2,0
95,Da Nang City,Car,2025-08-25,2025-08-27 06:00:00,54,648,4,1
96,Hanoi Center,Bike,2025-04-26,2025-04-28 09:00:00,57,627,3,0
97,Hanoi Center,Electric Scooter,2025-03-17,2025-03-17 07:00:00,7,112,4,0
98,Hanoi Center,Bike,2025-06-29,2025-06-30 07:00:00,31,403,1,0
99,HCM District 1,Bike,2025-07-23,2025-07-24 20:00:00,44,528,3,1
100,Da Nang City,Car,2025-05-31,2025-05-31 02:00:00,2,20,1,0
101,Da Nang City,Car,2025-08-18,2025-08-19 22:00:00,46,598,2,1
102,Da Nang City,Bike,2025-04-09,2025-04-09 10:00:00,10,120,1,0
103,Hanoi Center,Bike,2025-09-10,2025-09-11 09:00:00,33,297,3,1
104,Da Nang City,Electric Scooter,2025-09-30,2025-10-02 10:00:00,58,1160,2,1
105,Da Nang City,Car,2025-01-19,2025-01-20 14:00:00,38,684,5,0
106,HCM District 1,Electric Scooter,2025-04-25,2025-04-27 04:00:00,52,936,4,1
107,Hanoi Center,Electric Scooter,2025-09-17,2025-09-19 01:00:00,49,490,1,1
108,Da Nang City,Electric Scooter,2025-04-10,2025-04-11 19:00:00,43,817,2,0
109,HCM District 1,Electric Scooter,2025-04-27,2025-04-27 17:00:00,17,85,3,0
110,Hanoi Center,Bike,2025-03-31,2025-04-01 17:00:00,41,615,3,1
111,HCM District 1,Electric Scooter,2025-01-15,2025-01-16 22:00:00,46,414,1,1
112,HCM District 1,Bike,2025-09-01,2025-09-02 22:00:00,46,874,4,0
113,Da Nang City,Electric Scooter,2025-04-14,2025-04-14 18:00:00,18,252,5,1
114,HCM District 1,Bike,2025-09-14,2025-09-15 09:00:00,33,660,5,0
115,HCM District 1,Electric Scooter,2025-09-25,2025-09-26 02:00:00,26,130,2,0
116,Hanoi Center,Electric Scooter,2025-08-14,2025-08-15 03:00:00,27,324,4,1
117,Da Nang City,Electric Scooter,2025-10-01,2025-10-02 05:00:00,29,145,2,0
118,Hanoi Center,Car,2025-10-02,2025-10-03 13:00:00,37,407,4,0
119,Hanoi Center,Electric Scooter,2025-02-27,2025-03-01 08:00:00,56,1120,3,0
120,Da Nang City,Car,2025-04-14,2025-04-16 17:00:00,65,585,2,1
121,Da Nang City,Car,2025-04-26,2025-04-26 17:00:00,17,340,1,1
122,Hanoi Center,Bike,2025-01-07,2025-01-08 12:00:00,36,216,5,1
123,HCM District 1,Car,2025-08-06,2025-08-08 00:00:00,48,672,4,0
124,Da Nang City,Electric Scooter,2025-05-05,2025-05-06 19:00:00,43,344,5,1
125,HCM District 1,Bike,2025-02-14,2025-02-15 00:00:00,24,480,3,0
126,HCM District 1,Bike,2025-09-09,2025-09-09 07:00:00,7,133,5,1
127,Hanoi Center,Bike,2025-05-03,2025-05-03 14:00:00,14,266,3,1
128,HCM District 1,Car,2025-10-01,2025-10-03 06:00:00,54,540,1,1
129,Hanoi Center,Car,2025-06-24,2025-06-26 21:00:00,69,1035,3,0
130,Da Nang City,Electric Scooter,2025-08-05,2025-08-06 19:00:00,43,731,4,1
131,HCM District 1,Electric Scooter,2025-10-26,2025-10-27 02:00:00,26,130,5,0
132,Hanoi Center,Car,2025-01-03,2025-01-03 23:00:00,23,437,3,0
133,Hanoi Center,Electric Scooter,2025-01-03,2025-01-04 21:00:00,45,765,3,1
134,Hanoi Center,Electric Scooter,2025-01-19,2025-01-21 21:00:00,69,759,2,0
135,Hanoi Center,Car,2025-01-23,2025-01-25 00:00:00,48,912,5,1
136,Da Nang City,Bike,2025-05-19,2025-05-19 03:00:00,3,27,1,0
137,HCM District 1,Electric Scooter,2025-04-10,2025-04-10 12:00:00,12,168,2,0
138,HCM District 1,Car,2025-06-23,2025-06-24 19:00:00,43,817,5,1
139,Hanoi Center,Electric Scooter,2025-07-19,2025-07-20 12:00:00,36,576,5,1
140,HCM District 1,Car,2025-08-01,2025-08-02 23:00:00,47,564,3,0
141,HCM District 1,Electric Scooter,2025-06-22,2025-06-23 23:00:00,47,329,1,0
142,Da Nang City,Bike,2025-04-06,2025-04-07 08:00:00,32,352,5,1
143,HCM District 1,Car,2025-05-20,2025-05-22 04:00:00,52,728,1,1
144,Da Nang City,Car,2025-03-18,2025-03-18 16:00:00,16,192,4,0
145,Da Nang City,Electric Scooter,2025-06-14,2025-06-14 03:00:00,3,30,3,0
146,Da Nang City,Bike,2025-05-25,2025-05-25 13:00:00,13,130,5,0
147,Hanoi Center,Car,2025-08-16,2025-08-16 02:00:00,2,10,1,0
148,Da Nang City,Car,2025-06-22,2025-06-23 05:00:00,29,377,3,1
149,HCM District 1,Bike,2025-02-02,2025-02-02 06:00:00,6,30,1,0
150,HCM District 1,Car,2025-07-12,2025-07-12 20:00:00,20,240,2,0
151,HCM District 1,Bike,2025-02-26,2025-02-26 04:00:00,4,32,4,1
152,Hanoi Center,Electric Scooter,2025-05-03,2025-05-05 07:00:00,55,880,1,1
153,Da Nang City,Bike,2025-05-28,2025-05-29 20:00:00,44,396,4,1
154,Da Nang City,Car,2025-07-03,2025-07-05 05:00:00,53,848,4,1
155,Da Nang City,Electric Scooter,2025-05-08,2025-05-09 06:00:00,30,210,2,0
156,Da Nang City,Electric Scooter,2025-08-05,2025-08-06 14:00:00,38,380,5,1
157,Hanoi Center,Bike,2025-01-08,2025-01-10 05:00:00,53,477,4,1
158,Da Nang City,Electric Scooter,2025-10-12,2025-10-12 03:00:00,3,57,3,0
159,HCM District 1,Bike,2025-03-18,2025-03-19 16:00:00,40,360,2,0
160,HCM District 1,Bike,2025-01-19,2025-01-21 11:00:00,59,944,1,0
161,Da Nang City,Electric Scooter,2025-07-13,2025-07-14 12:00:00,36,540,4,0
162,Hanoi Center,Bike,2025-07-08,2025-07-10 04:00:00,52,364,3,1
163,Da Nang City,Car,2025-04-18,2025-04-19 16:00:00,40,360,2,1
164,Hanoi Center,Car,2025-10-01,2025-10-03 13:00:00,61,1098,3,0
165,HCM District 1,Bike,2025-01-05,2025-01-07 01:00:00,49,784,2,1
166,Hanoi Center,Electric Scooter,2025-05-28,2025-05-28 16:00:00,16,320,5,1
167,HCM District 1,Car,2025-10-03,2025-10-04 10:00:00,34,374,5,1
168,Da Nang City,Car,2025-07-11,2025-07-13 08:00:00,56,952,3,1
169,Hanoi Center,Car,2025-07-18,2025-07-20 20:00:00,68,1224,3,0
170,Hanoi Center,Electric Scooter,2025-05-11,2025-05-13 16:00:00,64,512,2,1
171,Da Nang City,Electric Scooter,2025-10-18,2025-10-19 19:00:00,43,817,5,0
172,HCM District 1,Electric Scooter,2025-04-25,2025-04-25 17:00:00,17,153,2,0
173,Da Nang City,Electric Scooter,2025-02-05,2025-02-05 02:00:00,2,24,1,0
174,Hanoi Center,Electric Scooter,2025-08-18,2025-08-20 09:00:00,57,741,3,1
175,Hanoi Center,Bike,2025-05-06,2025-05-08 21:00:00,69,1173,5,1
176,HCM District 1,Bike,2025-06-01,2025-06-02 10:00:00,34,204,4,1
177,HCM District 1,Car,2025-01-16,2025-01-17 02:00:00,26,416,3,1
178,Da Nang City,Car,2025-04-20,2025-04-20 18:00:00,18,198,3,0
179,Hanoi Center,Bike,2025-08-26,2025-08-26 14:00:00,14,266,4,1
180,Da Nang City,Car,2025-04-25,2025-04-25 02:00:00,2,38,2,0
181,Da Nang City,Car,2025-05-27,2025-05-27 17:00:00,17,187,2,1
182,Da Nang City,Electric Scooter,2025-06-15,2025-06-17 23:00:00,71,994,3,1
183,Hanoi Center,Bike,2025-02-09,2025-02-10 16:00:00,40,800,2,1
184,HCM District 1,Car,2025-10-01,2025-10-01 07:00:00,7,77,2,0
185,Da Nang City,Car,2025-08-17,2025-08-18 22:00:00,46,414,2,1
186,Da Nang City,Electric Scooter,2025-04-02,2025-04-03 02:00:00,26,156,2,0
187,HCM District 1,Electric Scooter,2025-07-07,2025-07-09 08:00:00,56,728,1,0
188,Da Nang City,Electric Scooter,2025-10-04,2025-10-05 03:00:00,27,351,5,1
189,Hanoi Center,Electric Scooter,2025-08-10,2025-08-10 10:00:00,10,180,4,1
190,HCM District 1,Electric Scooter,2025-05-15,2025-05-17 00:00:00,48,912,4,0
191,HCM District 1,Bike,2025-09-14,2025-09-14 23:00:00,23,184,2,1
192,Hanoi Center,Car,2025-09-10,2025-09-11 02:00:00,26,338,2,0
193,Da Nang City,Electric Scooter,2025-07-12,2025-07-13 06:00:00,30,420,3,1
194,Da Nang City,Electric Scooter,2025-01-16,2025-01-18 04:00:00,52,364,2,0
195,Da Nang City,Bike,2025-06-06,2025-06-08 17:00:00,65,390,5,0
196,HCM District 1,Car,2025-10-15,2025-10-15 08:00:00,8,56,1,0
197,Hanoi Center,Electric Scooter,2025-03-23,2025-03-25 00:00:00,48,576,5,1
198,Hanoi Center,Car,2025-10-11,2025-10-13 14:00:00,62,620,4,1
199,Hanoi Center,Bike,2025-09-28,2025-09-30 07:00:00,55,935,5,0
200,Hanoi Center,Electric Scooter,2025-05-09,2025-05-12 00:00:00,72,720,5,1
201,Hanoi Center,Electric Scooter,2025-07-26,2025-07-27 22:00:00,46,644,1,1
202,Da Nang City,Electric Scooter,2025-05-31,2025-05-31 14:00:00,14,154,3,0
203,Da Nang City,Bike,2025-06-30,2025-07-02 22:00:00,70,1120,1,0
204,HCM District 1,Car,2025-08-23,2025-08-24 22:00:00,46,414,4,0
205,Hanoi Center,Car,2025-09-04,2025-09-05 07:00:00,31,465,3,0
206,Da Nang City,Bike,2025-01-07,2025-01-09 14:00:00,62,1054,3,0
207,Da Nang City,Car,2025-10-12,2025-10-13 06:00:00,30,390,5,0
208,Da Nang City,Bike,2025-01-18,2025-01-18 06:00:00,6,72,2,0
209,HCM District 1,Electric Scooter,2025-05-05,2025-05-08 00:00:00,72,576,1,1
210,Hanoi Center,Bike,2025-06-25,2025-06-25 12:00:00,12,168,2,1
211,Hanoi Center,Bike,2025-02-18,2025-02-19 21:00:00,45,450,4,1
212,HCM District 1,Bike,2025-08-21,2025-08-22 15:00:00,39,351,5,1
213,Da Nang City,Car,2025-08-27,2025-08-27 20:00:00,20,380,3,0
214,HCM District 1,Bike,2025-07-05,2025-07-07 17:00:00,65,1040,4,1
215,HCM District 1,Car,2025-08-05,2025-08-07 21:00:00,69,1311,5,0
216,Da Nang City,Car,2025-06-30,2025-07-02 02:00:00,50,800,1,0
217,Hanoi Center,Electric Scooter,2025-04-13,2025-04-15 04:00:00,52,624,4,0
218,Da Nang City,Bike,2025-01-18,2025-01-20 05:00:00,53,795,5,0
219,Da Nang City,Bike,2025-04-26,2025-04-27 08:00:00,32,320,5,1
220,Da Nang City,Bike,2025-03-15,2025-03-15 07:00:00,7,63,4,1
221,Hanoi Center,Electric Scooter,2025-07-29,2025-07-30 18:00:00,42,546,3,0
222,Hanoi Center,Electric Scooter,2025-06-24,2025-06-26 17:00:00,65,1105,5,1
223,HCM District 1,Electric Scooter,2025-04-26,2025-04-28 10:00:00,58,348,5,0
224,HCM District 1,Electric Scooter,2025-09-11,2025-09-12 22:00:00,46,276,3,0
225,HCM District 1,Bike,2025-10-27,2025-10-29 06:00:00,54,702,5,1
226,Hanoi Center,Electric Scooter,2025-08-01,2025-08-02 09:00:00,33,231,2,0
227,HCM District 1,Bike,2025-02-18,2025-02-18 04:00:00,4,60,2,0
228,Da Nang City,Electric Scooter,2025-06-19,2025-06-20 16:00:00,40,280,2,1
229,Da Nang City,Bike,2025-02-05,2025-02-07 10:00:00,58,1044,5,0
230,Da Nang City,Bike,2025-01-08,2025-01-08 19:00:00,19,114,1,1
231,HCM District 1,Electric Scooter,2025-07-03,2025-07-03 05:00:00,5,75,1,1
232,HCM District 1,Bike,2025-08-10,2025-08-11 04:00:00,28,476,2,1
233,HCM District 1,Electric Scooter,2025-10-04,2025-10-04 17:00:00,17,85,4,0
234,Da Nang City,Electric Scooter,2025-07-20,2025-07-20 06:00:00,6,102,5,0
235,Hanoi Center,Electric Scooter,2025-10-27,2025-10-29 18:00:00,66,726,4,0
236,HCM District 1,Bike,2025-09-22,2025-09-23 00:00:00,24,456,5,1
237,HCM District 1,Electric Scooter,2025-01-19,2025-01-21 22:00:00,70,1400,3,0
238,Da Nang City,Electric Scooter,2025-05-16,2025-05-17 05:00:00,29,377,4,0
239,HCM District 1,Car,2025-06-30,2025-07-02 20:00:00,68,1360,2,1
240,Hanoi Center,Bike,2025-02-01,2025-02-02 16:00:00,40,600,5,1
241,Hanoi Center,Car,2025-08-06,2025-08-07 15:00:00,39,390,5,0
242,Hanoi Center,Car,2025-09-03,2025-09-03 17:00:00,17,119,4,0
243,Hanoi Center,Car,2025-09-23,2025-09-24 19:00:00,43,344,3,1
244,HCM District 1,Car,2025-01-21,2025-01-22 15:00:00,39,663,2,1
245,HCM District 1,Electric Scooter,2025-10-22,2025-10-22 16:00:00,16,160,3,1
246,HCM District 1,Bike,2025-05-16,2025-05-17 10:00:00,34,170,3,0
247,Hanoi Center,Car,2025-05-07,2025-05-07 16:00:00,16,80,1,1
248,HCM District 1,Bike,2025-02-27,2025-03-01 16:00:00,64,1216,2,0
249,Da Nang City,Car,2025-01-01,2025-01-02 07:00:00,31,217,3,0
250,Hanoi Center,Car,2025-06-10,2025-06-12 22:00:00,70,1120,4,0
251,Hanoi Center,Electric Scooter,2025-10-05,2025-10-07 07:00:00,55,715,5,0
252,Hanoi Center,Electric Scooter,2025-08-05,2025-08-08 00:00:00,72,360,3,0
253,Hanoi Center,Electric Scooter,2025-06-08,2025-06-08 06:00:00,6,96,4,1
254,Hanoi Center,Bike,2025-02-19,2025-02-21 16:00:00,64,576,3,1
255,HCM District 1,Car,2025-06-22,2025-06-24 17:00:00,65,1040,2,1
256,Da Nang City,Bike,2025-10-16,2025-10-16 12:00:00,12,156,2,1
257,HCM District 1,Car,2025-03-27,2025-03-27 07:00:00,7,119,2,0
258,HCM District 1,Car,2025-06-05,2025-06-05 16:00:00,16,80,2,1
259,Hanoi Center,Bike,2025-05-29,2025-05-31 12:00:00,60,540,3,1
260,Hanoi Center,Bike,2025-10-15,2025-10-15 17:00:00,17,85,5,1
261,Da Nang City,Car,2025-03-28,2025-03-30 19:00:00,67,469,2,0
262,Da Nang City,Electric Scooter,2025-08-17,2025-08-17 18:00:00,18,252,5,1
263,Hanoi Center,Electric Scooter,2025-08-09,2025-08-11 00:00:00,48,576,5,0
264,Da Nang City,Car,2025-05-26,2025-05-28 16:00:00,64,640,3,1
265,Da Nang City,Car,2025-03-04,2025-03-04 14:00:00,14,140,3,1
266,HCM District 1,Electric Scooter,2025-08-26,2025-08-26 15:00:00,15,240,1,1
267,HCM District 1,Bike,2025-01-27,2025-01-29 00:00:00,48,864,2,0
268,Da Nang City,Bike,2025-09-17,2025-09-19 17:00:00,65,520,2,0
269,Hanoi Center,Bike,2025-07-31,2025-08-01 00:00:00,24,456,5,0
270,Hanoi Center,Car,2025-10-02,2025-10-03 12:00:00,36,396,3,0
271,Da Nang City,Electric Scooter,2025-01-31,2025-02-01 15:00:00,39,429,1,0
272,Hanoi Center,Electric Scooter,2025-04-09,2025-04-11 10:00:00,58,464,2,1
273,Da Nang City,Electric Scooter,2025-04-03,2025-04-04 16:00:00,40,520,4,1
274,Hanoi Center,Car,2025-01-27,2025-01-29 22:00:00,70,1330,3,1
275,Da Nang City,Electric Scooter,2025-01-22,2025-01-24 23:00:00,71,1420,1,0
276,HCM District 1,Bike,2025-08-22,2025-08-23 22:00:00,46,690,4,1
277,Da Nang City,Car,2025-07-06,2025-07-06 06:00:00,6,72,4,1
278,Hanoi Center,Electric Scooter,2025-06-13,2025-06-13 20:00:00,20,120,4,1
279,Hanoi Center,Electric Scooter,2025-06-24,2025-06-26 02:00:00,50,250,5,0
280,Da Nang City,Electric Scooter,2025-10-03,2025-10-03 18:00:00,18,90,2,0
281,Hanoi Center,Car,2025-05-22,2025-05-24 20:00:00,68,340,5,0
282,HCM District 1,Bike,2025-03-24,2025-03-26 09:00:00,57,1140,5,0
283,Hanoi Center,Car,2025-01-19,2025-01-20 04:00:00,28,364,2,0
284,Da Nang City,Car,2025-08-13,2025-08-13 09:00:00,9,99,4,1
285,Hanoi Center,Bike,2025-01-28,2025-01-28 20:00:00,20,180,1,1
286,Da Nang City,Bike,2025-08-03,2025-08-05 23:00:00,71,1420,5,0
287,Hanoi Center,Bike,2025-09-02,2025-09-02 11:00:00,11,154,2,0
288,Hanoi Center,Bike,2025-10-03,2025-10-04 14:00:00,38,494,4,1
289,Da Nang City,Car,2025-04-16,2025-04-18 12:00:00,60,480,2,1
290,Hanoi Center,Electric Scooter,2025-02-11,2025-02-12 13:00:00,37,666,4,1
291,Hanoi Center,Electric Scooter,2025-07-17,2025-07-19 05:00:00,53,1007,1,1
292,HCM District 1,Car,2025-06-06,2025-06-07 01:00:00,25,250,4,1
293,HCM District 1,Electric Scooter,2025-07-23,2025-07-24 13:00:00,37,444,3,1
294,HCM District 1,Car,2025-03-05,2025-03-07 13:00:00,61,976,4,1
295,Da Nang City,Car,2025-09-28,2025-10-01 00:00:00,72,432,3,1
296,HCM District 1,Bike,2025-03-14,2025-03-14 18:00:00,18,126,3,1
297,Hanoi Center,Bike,2025-04-20,2025-04-22 09:00:00,57,285,5,0
298,Hanoi Center,Electric Scooter,2025-04-27,2025-04-29 18:00:00,66,462,5,0
299,Hanoi Center,Car,2025-10-14,2025-10-15 18:00:00,42,546,4,0
300,Hanoi Center,Car,2025-05-13,2025-05-14 02:00:00,26,286,4,1
301,Hanoi Center,Electric Scooter,2025-09-22,2025-09-22 19:00:00,19,323,1,1
302,Hanoi Center,Car,2025-08-02,2025-08-04 03:00:00,51,459,4,1
303,HCM District 1,Electric Scooter,2025-08-15,2025-08-16 05:00:00,29,522,5,1
304,Hanoi Center,Bike,2025-09-22,2025-09-22 14:00:00,14,280,2,1
305,Hanoi Center,Bike,2025-04-17,2025-04-19 03:00:00,51,969,1,0
306,Da Nang City,Electric Scooter,2025-04-26,2025-04-28 11:00:00,59,944,3,0
307,Hanoi Center,Bike,2025-07-21,2025-07-23 16:00:00,64,512,2,1
308,HCM District 1,Electric Scooter,2025-08-23,2025-08-25 08:00:00,56,784,5,0
309,Da Nang City,Electric Scooter,2025-03-25,2025-03-25 20:00:00,20,340,3,1
310,HCM District 1,Bike,2025-06-23,2025-06-23 01:00:00,1,5,1,0
311,Da Nang City,Car,2025-07-19,2025-07-21 22:00:00,70,770,2,0
312,Hanoi Center,Bike,2025-10-21,2025-10-21 13:00:00,13,247,5,0
313,HCM District 1,Car,2025-01-21,2025-01-23 17:00:00,65,520,1,1
314,HCM District 1,Car,2025-07-15,2025-07-15 20:00:00,20,100,2,0
315,Da Nang City,Car,2025-05-25,2025-05-26 05:00:00,29,232,5,1
316,Hanoi Center,Car,2025-10-21,2025-10-22 09:00:00,33,528,3,0
317,Da Nang City,Bike,2025-04-05,2025-04-05 11:00:00,11,220,2,1
318,HCM District 1,Bike,2025-02-27,2025-02-27 19:00:00,19,247,1,0
319,Hanoi Center,Car,2025-07-20,2025-07-21 07:00:00,31,620,3,0
320,HCM District 1,Bike,2025-06-08,2025-06-09 22:00:00,46,736,1,1
321,Hanoi Center,Car,2025-07-26,2025-07-27 22:00:00,46,230,2,0
322,HCM District 1,Electric Scooter,2025-05-28,2025-05-28 23:00:00,23,276,4,1
323,HCM District 1,Car,2025-04-18,2025-04-18 08:00:00,8,144,5,1
324,Hanoi Center,Bike,2025-09-09,2025-09-10 03:00:00,27,405,1,1
325,Da Nang City,Bike,2025-06-07,2025-06-09 07:00:00,55,990,4,1
326,HCM District 1,Car,2025-02-28,2025-02-28 21:00:00,21,147,1,0
327,HCM District 1,Car,2025-04-20,2025-04-21 20:00:00,44,748,3,0
